Formulation Index,Drug Group,Drug,Drug SMILES,Formulation Method,DOI,Drug MW,Drug TPSA,Drug LogP,Polymer MW,LA/GA,Initial Drug-to-Polymer Ratio,Particle Size,Drug Loading Capacity,Drug Encapsulation Efficiency,Solubility Enhancer Concentration,AUC,AUC Class,Profile Duration,N Time Points,Max Observed Release,Release_24h,Release_48h,Release_72h,Fold
1,8,moxidectin ,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,O/W,10.3390/ijms241914729,639.8300000000003,116.04,5.728900000000008,75.0,3.0,0.6666666666666666,47.723,35.41,88.3,0.5,0.28530360681851324,AUC <= 0.5,237.732283464566,16,0.917808219178082,0.033137638617090626,0.06249999999999994,0.06139048084987413,3
2,65,dexamethasone,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.1016/j.ejpb.2023.08.006 ,392.4670000000002,94.83,1.8957,12.0,1.0,0.1111111111111111,1.8,6.6,66.0,0.0,0.890264144226136,AUC > 0.5,20.0356809600015,10,0.99193068804301,0.5761231122156368,0.6982221372586499,0.7753420225550001,0
3,65,dexamethasone,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.1016/j.ejpb.2023.08.006 ,392.4670000000002,94.83,1.8957,12.0,1.0,0.1111111111111111,12.5,8.6,85.9,0.0,0.6968273054708087,AUC > 0.5,20.0350040854215,10,0.973113574719701,0.17490936844113716,0.2192101226993859,0.3518766756032176,0
4,65,dexamethasone,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.1016/j.ejpb.2023.08.006 ,392.4670000000002,94.83,1.8957,12.0,1.0,0.1111111111111111,29.3,8.7,86.8,0.0,0.6830041287370914,AUC > 0.5,20.0357776563701,10,0.994618847089197,0.08939393939393929,0.12271510516252448,0.23926046897089678,0
5,65,dexamethasone,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.1016/j.ejpb.2023.08.006 ,392.4670000000002,94.83,1.8957,12.0,1.0,0.1111111111111111,58.0,9.0,90.1,0.0,0.6479940807308285,AUC > 0.5,20.0350040854215,10,0.973113574719701,0.0611169652265542,0.09575363427697128,0.20169515874155963,0
6,65,dexamethasone,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.1016/j.ejpb.2023.08.006 ,392.4670000000002,94.83,1.8957,31.0,1.0,0.1111111111111111,1.5,5.8,58.1,0.0,0.6974930165958554,AUC > 0.5,29.9469964664311,13,1.0,0.1411722786388746,0.19371537472853795,0.25606979151264175,0
7,65,dexamethasone,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.1016/j.ejpb.2023.08.006 ,392.4670000000002,94.83,1.8957,31.0,1.0,0.1111111111111111,12.9,7.5,75.3,0.0,0.5258632426468869,AUC > 0.5,29.9469964664311,13,1.0,0.04263370109442189,0.055026307212366746,0.07791445345261386,0
8,65,dexamethasone,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.1016/j.ejpb.2023.08.006 ,392.4670000000002,94.83,1.8957,31.0,1.0,0.1111111111111111,34.8,8.5,85.3,0.0,0.5186474495903861,AUC > 0.5,29.9469964664311,13,1.0,0.022546806532996934,0.03565582835655828,0.05922974767596267,0
9,65,dexamethasone,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.1016/j.ejpb.2023.08.006 ,392.4670000000002,94.83,1.8957,31.0,1.0,0.1111111111111111,61.3,8.6,86.1,0.0,0.5152695946104566,AUC > 0.5,29.9469964664311,13,1.0,0.014309189735810949,0.025273548447176098,0.03387881468376815,0
10,65,dexamethasone,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,S/O/W,10.1016/j.ejpb.2023.08.006 ,392.4670000000002,94.83,1.8957,12.0,1.0,0.05263157894736843,35.0,4.3,86.0,0.0,0.7408831541053702,AUC > 0.5,19.9676122403395,11,0.997542997542997,0.05743696852155775,0.14854185492483357,0.3195759604654882,0
