fold,feature,q25_a,q50_b,q75_c,rule
0,Drug Encapsulation Efficiency,50.775,72.94999999999999,85.74000000000001,normal
1,Drug Encapsulation Efficiency,50.775,71.76947604790419,85.65,normal
2,Drug Encapsulation Efficiency,49.099999999999994,69.705,84.62666666666667,normal
3,Drug Encapsulation Efficiency,53.905,74.4,85.985,normal
4,Drug Encapsulation Efficiency,49.199999999999996,70.0,84.55,normal
0,Drug Loading Capacity,4.44,9.465453070956384,17.224,normal
1,Drug Loading Capacity,4.316279069767441,8.473333333333334,15.74,normal
2,Drug Loading Capacity,5.5,9.400453070956384,17.11,normal
3,Drug Loading Capacity,5.12625,9.32,16.668423913043476,normal
4,Drug Loading Capacity,4.460000000000001,8.39,15.796167135266863,normal
0,Drug LogP,1.794600000000003,3.5412414285714315,4.65471428571429,normal
1,Drug LogP,1.8312300000000001,2.576244,3.8843000000000023,normal
2,Drug LogP,1.842282,2.6248599999999973,4.570738125000002,normal
3,Drug LogP,1.8745169999999998,2.695399999999998,4.131810000000003,normal
4,Drug LogP,1.8505590000000023,2.6766428571428555,4.343759333333333,normal
0,Drug MW,296.41400000000004,375.1210000000002,506.54350000000045,normal
1,Drug MW,303.4452500000002,375.1210000000004,409.34466666666685,normal
2,Drug MW,342.4930000000002,392.4510000000002,479.02000000000015,normal
3,Drug MW,313.0830000000001,391.8910000000001,411.0398000000002,normal
4,Drug MW,313.86420000000015,392.3070000000002,505.8622500000004,normal
0,Drug TPSA,39.038,75.4449999999999,107.76999999999995,normal
1,Drug TPSA,40.460000000000015,87.91750000000043,95.10533333333332,normal
2,Drug TPSA,63.29833333333337,90.37272727272732,95.03196721311474,normal
3,Drug TPSA,40.131538461538526,88.24600000000005,94.95163934426229,normal
4,Drug TPSA,49.35,90.54320000000004,102.60299999999978,normal
0,Initial Drug-to-Polymer Ratio,0.09999521743912995,0.2017778171796274,0.2509873167767904,normal
1,Initial Drug-to-Polymer Ratio,0.090543045757268,0.11214106208544469,0.25074760765550236,normal
2,Initial Drug-to-Polymer Ratio,0.10120501661285047,0.20342229807078238,0.2638020833333334,normal
3,Initial Drug-to-Polymer Ratio,0.09999985135283783,0.19286282671237118,0.25068735271013354,normal
4,Initial Drug-to-Polymer Ratio,0.09999360817202639,0.112267314140363,0.25031663383056574,normal
0,LA/GA,1.0,1.0496236559139789,2.3928125000000087,normal
1,LA/GA,1.0,1.0642441860465122,2.618354430379753,normal
2,LA/GA,1.0,1.0634705882352946,2.6121052631579014,normal
3,LA/GA,1.0,1.059347826086957,2.554746835443046,normal
4,LA/GA,1.0,1.4240000000000066,2.436000000000007,normal
0,Particle Size,15.79735507246375,32.224999999999994,64.125,normal
1,Particle Size,16.868499999999997,35.635,62.55,normal
2,Particle Size,13.681680519772073,34.4,53.85027842227375,normal
3,Particle Size,17.61028914712736,35.137142857142855,59.975,normal
4,Particle Size,17.06918235549484,33.93,55.605,normal
0,Polymer MW,12.830500000000006,33.861111111111114,47.99999999999999,normal
1,Polymer MW,12.343750000000002,31.11111111111112,48.32258064516129,normal
2,Polymer MW,13.044166666666676,31.750000000000018,46.16666666666666,normal
3,Polymer MW,12.955882352941185,31.6666666666667,45.92647058823529,normal
4,Polymer MW,12.423076923076925,31.750000000000014,45.71621621621622,normal
0,Solubility Enhancer Concentration,0.0,0.013454545454545495,0.44102564102564196,normal
1,Solubility Enhancer Concentration,0.0,0.001283333333333334,0.025454545454545455,normal
2,Solubility Enhancer Concentration,0.0,0.0019285714285714533,0.28888888888891767,normal
3,Solubility Enhancer Concentration,0.0,0.001729411764705876,0.2111111111111066,normal
4,Solubility Enhancer Concentration,0.0,0.001456140350877205,0.40138888888889124,normal
0,Time,2.0213268822913633,7.109654201932578,18.035490738927518,normal
1,Time,1.9793345732300154,6.989485628241173,15.020842305815915,normal
2,Time,2.025332619939091,7.1931149179959695,18.056775767965757,normal
3,Time,2.027151767004024,7.080166793902341,17.996751327994353,normal
4,Time,2.003360234265425,7.007701199609875,16.019602902841868,normal
