fold,knot strategy,feature,fuzzifiable,knot source,knots,valid High=1 share,valid Low=1 share
0,quantile,Drug MW,True,quantile,"[303.789, 371.171, 510.631]",0.0615,0.1077
0,quantile,Drug TPSA,True,quantile,"[39.2725, 71.415, 102.28]",0.1385,0.0308
0,quantile,Drug LogP,True,quantile,"[2.1876, 3.5904, 4.694]",0.0154,0.9077
0,quantile,Polymer MW,True,quantile,"[12.0, 34.0, 46.0]",0.2,0.2462
0,quantile,LA/GA,True,quantile-unique,"[1.86, 2.33, 3.0]",0.3538,0.6462
0,quantile,Initial Drug-to-Polymer Ratio,True,quantile,"[0.1, 0.2, 0.25]",0.2462,0.4308
0,quantile,Particle Size,True,quantile,"[16.0987, 32.4, 62.675]",0.1077,0.2
0,quantile,Drug Loading Capacity,True,quantile,"[4.2994, 9.4655, 17.3198]",0.1077,0.1077
0,quantile,Drug Encapsulation Efficiency,True,quantile,"[48.1, 71.7875, 85.82]",0.1846,0.1385
0,quantile,Solubility Enhancer Concentration,True,quantile-unique,"[0.0875, 0.45, 3.1]",0.0,0.9231
1,quantile,Drug MW,True,quantile,"[312.453, 392.467, 410.493]",0.4531,0.25
1,quantile,Drug TPSA,True,quantile,"[41.13, 90.46, 95.83]",0.1719,0.1719
1,quantile,Drug LogP,True,quantile,"[1.8957, 2.3216, 4.1367]",0.3594,0.0781
1,quantile,Polymer MW,True,quantile,"[12.0, 31.0, 46.0]",0.2188,0.2812
1,quantile,LA/GA,True,quantile-unique,"[1.3125, 2.095, 2.8325]",0.3438,0.6406
1,quantile,Initial Drug-to-Polymer Ratio,True,quantile,"[0.1, 0.1111, 0.25]",0.6094,0.2188
1,quantile,Particle Size,True,quantile,"[16.73, 35.86, 64.55]",0.0625,0.25
1,quantile,Drug Loading Capacity,True,quantile,"[4.48, 8.39, 15.92]",0.3281,0.1562
1,quantile,Drug Encapsulation Efficiency,True,quantile,"[48.2, 69.3, 84.87]",0.3125,0.1406
1,quantile,Solubility Enhancer Concentration,True,quantile-unique,"[0.0875, 0.45, 3.1]",0.0,0.5625
