representation,fold,n valid,valid positive rate,train n before balancing,train n after balancing,accuracy,precision,recall,F1,AUROC
crisp,0,65,0.8615,256,146,0.8,0.8771929824561403,0.8928571428571429,0.8849557522123894,0.6636904761904762
crisp,1,64,0.6094,257,114,0.640625,0.7857142857142857,0.5641025641025641,0.6567164179104478,0.7241025641025641
crisp,2,64,0.875,257,148,0.5625,0.868421052631579,0.5892857142857143,0.7021276595744681,0.31919642857142855
crisp,3,64,0.7031,257,126,0.5625,0.7741935483870968,0.5333333333333333,0.631578947368421,0.711111111111111
crisp,4,64,0.6719,257,122,0.640625,0.7083333333333334,0.7906976744186046,0.7472527472527473,0.5027685492801772
fuzzy (quantile),0,65,0.8615,256,146,0.7384615384615385,0.8823529411764706,0.8035714285714286,0.8411214953271028,0.6755952380952381
fuzzy (quantile),1,64,0.6094,257,114,0.5625,0.6896551724137931,0.5128205128205128,0.5882352941176471,0.6107692307692307
fuzzy (quantile),2,64,0.875,257,148,0.578125,0.8372093023255814,0.6428571428571429,0.7272727272727273,0.28348214285714285
fuzzy (quantile),3,64,0.7031,257,126,0.53125,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.6771929824561403
fuzzy (quantile),4,64,0.6719,257,122,0.640625,0.6923076923076923,0.8372093023255814,0.7578947368421053,0.5143964562569214
fuzzy (uniform),0,65,0.8615,256,146,0.7846153846153846,0.875,0.875,0.875,0.6736111111111112
fuzzy (uniform),1,64,0.6094,257,114,0.6875,0.7878787878787878,0.6666666666666666,0.7222222222222222,0.7682051282051281
fuzzy (uniform),2,64,0.875,257,148,0.5,0.8529411764705882,0.5178571428571429,0.6444444444444445,0.34598214285714285
fuzzy (uniform),3,64,0.7031,257,126,0.53125,0.8,0.4444444444444444,0.5714285714285714,0.6690058479532164
fuzzy (uniform),4,64,0.6719,257,122,0.578125,0.6739130434782609,0.7209302325581395,0.6966292134831461,0.47729789590254706
hybrid (quantile),0,65,0.8615,256,146,0.7692307692307693,0.8596491228070176,0.875,0.8672566371681416,0.6041666666666667
hybrid (quantile),1,64,0.6094,257,114,0.65625,0.8695652173913043,0.5128205128205128,0.6451612903225806,0.6994871794871795
hybrid (quantile),2,64,0.875,257,148,0.640625,0.851063829787234,0.7142857142857143,0.7766990291262136,0.390625
hybrid (quantile),3,64,0.7031,257,126,0.546875,0.8076923076923077,0.4666666666666667,0.5915492957746479,0.7076023391812866
hybrid (quantile),4,64,0.6719,257,122,0.578125,0.6739130434782609,0.7209302325581395,0.6966292134831461,0.5238095238095237
hybrid (uniform),0,65,0.8615,256,146,0.7846153846153846,0.8888888888888888,0.8571428571428571,0.8727272727272727,0.6696428571428572
hybrid (uniform),1,64,0.6094,257,114,0.640625,0.7666666666666667,0.5897435897435898,0.6666666666666666,0.7374358974358974
hybrid (uniform),2,64,0.875,257,148,0.53125,0.8611111111111112,0.5535714285714286,0.6739130434782609,0.3683035714285714
hybrid (uniform),3,64,0.7031,257,126,0.515625,0.7916666666666666,0.4222222222222222,0.5507246376811594,0.646783625730994
hybrid (uniform),4,64,0.6719,257,122,0.578125,0.6739130434782609,0.7209302325581395,0.6966292134831461,0.4451827242524917
