time setting,target,representation,RMSE,MAE,Pearson_r,R2
(a) time-dependent,Release (pointwise),crisp,0.2352 ± 0.0430,0.1816 ± 0.0339,0.7227 ± 0.1075,0.4686 ± 0.1885
(b) time-independent,Release_24h,crisp,0.2000 ± 0.0329,0.1601 ± 0.0269,0.2298 ± 0.1502,-0.2547 ± 0.3455
(b) time-independent,Release_48h,crisp,0.2306 ± 0.0317,0.1886 ± 0.0211,0.2952 ± 0.1642,-0.2438 ± 0.3814
(b) time-independent,Release_72h,crisp,0.2392 ± 0.0293,0.1959 ± 0.0233,0.3599 ± 0.2114,-0.1121 ± 0.3300
(a) time-dependent,Release (pointwise),fuzzy (quantile),0.2331 ± 0.0415,0.1857 ± 0.0316,0.7210 ± 0.0983,0.4769 ± 0.1806
(b) time-independent,Release_24h,fuzzy (quantile),0.1845 ± 0.0406,0.1479 ± 0.0308,0.3456 ± 0.1638,-0.0402 ± 0.2248
(b) time-independent,Release_48h,fuzzy (quantile),0.2122 ± 0.0288,0.1730 ± 0.0254,0.3929 ± 0.1562,-0.0433 ± 0.2601
(b) time-independent,Release_72h,fuzzy (quantile),0.2281 ± 0.0274,0.1886 ± 0.0257,0.4046 ± 0.1741,-0.0024 ± 0.2494
(a) time-dependent,Release (pointwise),fuzzy (uniform),0.2294 ± 0.0442,0.1800 ± 0.0367,0.7331 ± 0.1110,0.4917 ± 0.1951
(b) time-independent,Release_24h,fuzzy (uniform),0.1988 ± 0.0393,0.1572 ± 0.0308,0.2529 ± 0.1401,-0.2121 ± 0.2306
(b) time-independent,Release_48h,fuzzy (uniform),0.2213 ± 0.0357,0.1810 ± 0.0283,0.3341 ± 0.2063,-0.1399 ± 0.3536
(b) time-independent,Release_72h,fuzzy (uniform),0.2422 ± 0.0257,0.2012 ± 0.0196,0.3424 ± 0.2138,-0.1415 ± 0.3443
(a) time-dependent,Release (pointwise),hybrid (quantile),0.2323 ± 0.0387,0.1833 ± 0.0306,0.7270 ± 0.0980,0.4834 ± 0.1659
(b) time-independent,Release_24h,hybrid (quantile),0.1912 ± 0.0348,0.1537 ± 0.0277,0.3027 ± 0.1538,-0.1350 ± 0.2825
(b) time-independent,Release_48h,hybrid (quantile),0.2194 ± 0.0258,0.1812 ± 0.0205,0.3673 ± 0.1380,-0.1121 ± 0.2254
(b) time-independent,Release_72h,hybrid (quantile),0.2336 ± 0.0211,0.1943 ± 0.0188,0.3967 ± 0.1798,-0.0508 ± 0.2180
(a) time-dependent,Release (pointwise),hybrid (uniform),0.2313 ± 0.0401,0.1803 ± 0.0311,0.7295 ± 0.1026,0.4855 ± 0.1755
(b) time-independent,Release_24h,hybrid (uniform),0.2007 ± 0.0324,0.1598 ± 0.0267,0.2249 ± 0.1159,-0.2488 ± 0.2408
(b) time-independent,Release_48h,hybrid (uniform),0.2287 ± 0.0340,0.1879 ± 0.0240,0.3020 ± 0.1942,-0.2221 ± 0.3854
(b) time-independent,Release_72h,hybrid (uniform),0.2352 ± 0.0281,0.1941 ± 0.0235,0.3702 ± 0.2244,-0.0859 ± 0.3840
