time setting,target,representation,fold,n valid,n dropped (no interpolation support),RMSE,MAE,Pearson_r,R2
(a) time-dependent,Release (pointwise),crisp,0,1058,0,0.30895571107042835,0.24105677698583047,0.5362536121645614,0.14701814401362612
(a) time-dependent,Release (pointwise),crisp,1,1035,0,0.2248692847112255,0.1747783920862121,0.7946968068935452,0.5606874526961723
(a) time-dependent,Release (pointwise),crisp,2,1071,0,0.2087960918619837,0.16621967481176905,0.7462420701325119,0.5275349957657733
(a) time-dependent,Release (pointwise),crisp,3,973,0,0.20129085337313152,0.1569574741128045,0.7965452538858876,0.6320186746718433
(a) time-dependent,Release (pointwise),crisp,4,772,0,0.2319858053105733,0.16887645082572803,0.7398051488633323,0.47585637343523035
(b) time-independent,Release_24h,crisp,0,65,0,0.23308969152831296,0.18691009071576117,0.2671719019638129,-0.060740081546184266
(b) time-independent,Release_24h,crisp,1,64,0,0.19566441651663477,0.1607719296332592,0.3087390351416893,-0.35982457831697623
(b) time-independent,Release_24h,crisp,2,64,0,0.2251785528129877,0.17862843583597793,0.22622207089000454,-0.011520559374296857
(b) time-independent,Release_24h,crisp,3,64,0,0.14921603709481035,0.11753681122090649,0.368786910512464,-0.024288698993433666
(b) time-independent,Release_24h,crisp,4,64,0,0.19706548848477268,0.1567712852809054,-0.02167865776868697,-0.8173757890645774
(b) time-independent,Release_48h,crisp,0,65,0,0.27278295946949954,0.217932627523222,0.2945433459163568,-0.15964062502438048
(b) time-independent,Release_48h,crisp,1,64,0,0.21371059038831247,0.1826735641296111,0.46378500033759845,-0.10102293783205152
(b) time-independent,Release_48h,crisp,2,64,0,0.2474065489835307,0.19786237222842237,0.29327810354432704,0.01525396282238245
(b) time-independent,Release_48h,crisp,3,64,0,0.18965089024755197,0.1607034453915966,0.3936067717023949,-0.05716696330597815
(b) time-independent,Release_48h,crisp,4,64,0,0.22943552402169395,0.18359417529679395,0.031021526830902077,-0.9165321757626113
(b) time-independent,Release_72h,crisp,0,65,0,0.2838296940200737,0.23495463385531518,0.291355793936881,-0.16813722038531886
(b) time-independent,Release_72h,crisp,1,64,0,0.2103275750593319,0.1763400593761038,0.6381519032272502,0.15672050110217495
(b) time-independent,Release_72h,crisp,2,64,0,0.2444325461488342,0.19822845040300882,0.413715317817964,0.13014508955221427
(b) time-independent,Release_72h,crisp,3,64,0,0.21509729434772942,0.18103621325463448,0.40002031020946044,-0.024871885083784795
(b) time-independent,Release_72h,crisp,4,64,0,0.2422972542015397,0.18907756445271606,0.0563221886185586,-0.6541655211481394
(a) time-dependent,Release (pointwise),fuzzy (quantile),0,1058,0,0.3025447010972286,0.23893373356121403,0.5560986737091892,0.18205059674302526
(a) time-dependent,Release (pointwise),fuzzy (quantile),1,1035,0,0.22775159379050805,0.18382481812011092,0.7532323562287121,0.5493533155471471
(a) time-dependent,Release (pointwise),fuzzy (quantile),2,1071,0,0.2199292613693821,0.17746080420737853,0.7296196582660177,0.47580732741072973
(a) time-dependent,Release (pointwise),fuzzy (quantile),3,973,0,0.19053481128744265,0.1550695997135339,0.819364263519667,0.67029436823333
(a) time-dependent,Release (pointwise),fuzzy (quantile),4,772,0,0.22495173421323594,0.17324141855055525,0.7466686930075289,0.5071597421963046
