fold,method,fidelity R2 (valid),fidelity RMSE (valid),n rules kept
0,RuleFit,0.8070052449970131,0.12820461007917475,39
0,Surrogate tree (depth 3),0.8177361984908345,0.12458940192283997,8
1,RuleFit,0.8609222164823731,0.09856587422598077,40
1,Surrogate tree (depth 3),0.7723743519904849,0.12609802817050375,8
2,RuleFit,0.8036156463530383,0.12087389493843984,36
2,Surrogate tree (depth 3),0.6299998470062553,0.1659128511812324,8
3,RuleFit,0.7881598182185415,0.12257934919972938,40
3,Surrogate tree (depth 3),0.6722371095112245,0.1524730302345977,8
4,RuleFit,0.7970982754116782,0.14294792011089696,39
4,Surrogate tree (depth 3),0.6997921651702875,0.17387853912011078,8
