feature,crisp |SHAP|,fuzzy |SHAP| (3 sets summed),fuzzy share
Drug TPSA,0.007175117,0.015632423,0.68540597
Initial Drug-to-Polymer Ratio,0.015631747,0.022142641,0.58618134
Solubility Enhancer Concentration,0.0054202746,0.006315508,0.5381412
Drug Loading Capacity,0.0114713805,0.0106587475,0.48163968
Drug LogP,0.0077605424,0.005907494,0.43221235
Drug Encapsulation Efficiency,0.028066218,0.02052822,0.4224397
Particle Size,0.019766007,0.008304525,0.29584494
Polymer MW,0.036971636,0.012494641,0.25258908
Drug MW,0.022905897,0.0076688975,0.25082418
LA/GA,0.0040193545,0.00032717455,0.075272605
