fold,method,n train rows,n valid rows,train R2,valid R2,n leaves,phase
0,Early phase tree (depth 3),1035,296,0.25087103040909264,-0.14370632705695208,8,Early
1,Early phase tree (depth 3),1108,223,0.21687441772996086,-0.028241565779923095,8,Early
2,Early phase tree (depth 3),1009,322,0.17938347021901346,-0.20215732867509328,7,Early
3,Early phase tree (depth 3),1099,232,0.16983446483662212,-0.006345701354881994,8,Early
4,Early phase tree (depth 3),1073,258,0.2125981654600423,-0.36016191319832,8,Early
0,Middle phase tree (depth 3),1489,397,0.35454274404297526,-0.030894056300983186,7,Middle
1,Middle phase tree (depth 3),1531,355,0.28753733349868915,0.1520434883877737,8,Middle
2,Middle phase tree (depth 3),1399,487,0.3974330874185368,-0.09305014837912684,8,Middle
3,Middle phase tree (depth 3),1518,368,0.3645555930336123,0.09424469684774262,6,Middle
4,Middle phase tree (depth 3),1607,279,0.3957890217082157,-0.35781414145056734,8,Middle
0,Late phase tree (depth 3),1327,365,0.14555905847606287,-0.348611881525295,7,Late
1,Late phase tree (depth 3),1235,457,0.2135838448920585,-0.03020278856008307,8,Late
2,Late phase tree (depth 3),1430,262,0.17901176164759725,-0.23352167317166028,8,Late
3,Late phase tree (depth 3),1319,373,0.1400618387577902,-0.19752803406596064,7,Late
4,Late phase tree (depth 3),1457,235,0.18160113911304454,0.02551558273300858,8,Late
