target,representation,fold,n valid,n dropped (curve ends before day 3),valid positive rate,accuracy,precision,recall,F1,AUROC
Slow release (<=20% by day 3),crisp,0,65,0,0.2923,0.6923076923076923,0.4782608695652174,0.5789473684210527,0.5238095238095238,0.7494279176201373
Slow release (<=20% by day 3),crisp,1,64,0,0.5781,0.671875,0.75,0.6486486486486487,0.6956521739130435,0.7837837837837838
Slow release (<=20% by day 3),crisp,2,64,0,0.25,0.59375,0.1875,0.1875,0.1875,0.48046875
Slow release (<=20% by day 3),crisp,3,64,0,0.4531,0.671875,0.625,0.6896551724137931,0.6557377049180327,0.7384236453201971
Slow release (<=20% by day 3),crisp,4,64,0,0.2031,0.578125,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.5912518853695324
Slow release (<=20% by day 3),fuzzy (quantile),0,65,0,0.2923,0.6461538461538462,0.4230769230769231,0.5789473684210527,0.4888888888888889,0.7105263157894737
Slow release (<=20% by day 3),fuzzy (quantile),1,64,0,0.5781,0.734375,0.8125,0.7027027027027027,0.7536231884057971,0.8143143143143143
Slow release (<=20% by day 3),fuzzy (quantile),2,64,0,0.25,0.65625,0.35,0.4375,0.3888888888888889,0.6516927083333333
Slow release (<=20% by day 3),fuzzy (quantile),3,64,0,0.4531,0.671875,0.6052631578947368,0.7931034482758621,0.6865671641791045,0.7482758620689656
Slow release (<=20% by day 3),fuzzy (quantile),4,64,0,0.2031,0.578125,0.25,0.5384615384615384,0.34146341463414637,0.631975867269985
Slow release (<=20% by day 3),fuzzy (uniform),0,65,0,0.2923,0.6461538461538462,0.43333333333333335,0.6842105263157895,0.5306122448979592,0.7248283752860413
Slow release (<=20% by day 3),fuzzy (uniform),1,64,0,0.5781,0.6875,0.7931034482758621,0.6216216216216216,0.696969696969697,0.7837837837837838
Slow release (<=20% by day 3),fuzzy (uniform),2,64,0,0.25,0.609375,0.2,0.1875,0.1935483870967742,0.4921875
Slow release (<=20% by day 3),fuzzy (uniform),3,64,0,0.4531,0.625,0.5714285714285714,0.6896551724137931,0.625,0.6389162561576355
Slow release (<=20% by day 3),fuzzy (uniform),4,64,0,0.2031,0.609375,0.2692307692307692,0.5384615384615384,0.358974358974359,0.5927601809954751
Slow release (<=20% by day 3),hybrid (quantile),0,65,0,0.2923,0.6307692307692307,0.4,0.5263157894736842,0.45454545454545453,0.7048054919908466
Slow release (<=20% by day 3),hybrid (quantile),1,64,0,0.5781,0.75,0.8387096774193549,0.7027027027027027,0.7647058823529411,0.8328328328328328
Slow release (<=20% by day 3),hybrid (quantile),2,64,0,0.25,0.640625,0.3157894736842105,0.375,0.34285714285714286,0.5690104166666666
Slow release (<=20% by day 3),hybrid (quantile),3,64,0,0.4531,0.6875,0.6216216216216216,0.7931034482758621,0.696969696969697,0.6940886699507389
Slow release (<=20% by day 3),hybrid (quantile),4,64,0,0.2031,0.625,0.28,0.5384615384615384,0.3684210526315789,0.6048265460030166
Slow release (<=20% by day 3),hybrid (uniform),0,65,0,0.2923,0.6461538461538462,0.4375,0.7368421052631579,0.5490196078431373,0.7088100686498855
Slow release (<=20% by day 3),hybrid (uniform),1,64,0,0.5781,0.65625,0.7586206896551724,0.5945945945945946,0.6666666666666666,0.7577577577577579
Slow release (<=20% by day 3),hybrid (uniform),2,64,0,0.25,0.59375,0.1875,0.1875,0.1875,0.4921875
Slow release (<=20% by day 3),hybrid (uniform),3,64,0,0.4531,0.625,0.5806451612903226,0.6206896551724138,0.6,0.6950738916256158
Slow release (<=20% by day 3),hybrid (uniform),4,64,0,0.2031,0.609375,0.2692307692307692,0.5384615384615384,0.358974358974359,0.5822021116138764
